customer_id,age,gender,location,pages_viewed,time_spent_mins,product_views,cart_additions,cart_abandonment_rate,purchase_frequency,days_since_last_purchase,total_spending,payment_method,avg_review_rating,support_interactions,review_text,churn
CUST00001,56.0,Female,Chennai,39,,9,23,0.385,3,867,4921.33,Debit Card,3.1,3,Average quality for the price.,1
CUST00002,69.0,Male,Pune,158,12.54,49,37,0.617,22,1044,3391.6,Wallet,4.7,7,"Great product, very happy!",1
CUST00003,46.0,Female,Surat,7,9.73,37,41,0.0,25,532,4135.74,COD,1.3,2,Worst purchase ever made.,0
CUST00004,32.0,Male,Ahmedabad,150,12.27,31,40,0.55,5,594,1751.3,COD,1.4,7,"Not as described, very unhappy.",1
CUST00005,60.0,Female,Bangalore,121,30.56,31,35,0.975,13,638,9666.22,UPI,5.0,5,Amazing value for money!,1
CUST00006,25.0,Other,Chennai,178,6.35,59,40,0.312,4,810,6837.74,COD,4.9,3,"Great product, very happy!",0
CUST00007,38.0,Male,Surat,45,73.21,55,7,0.595,26,886,5142.63,Net Banking,4.1,9,Best purchase this year!,1
CUST00008,56.0,Male,Mumbai,74,18.83,19,2,0.762,10,917,13422.35,UPI,2.9,2,"Product is okay, nothing special.",1
CUST00009,36.0,Male,Chennai,120,11.82,63,29,0.609,20,231,4315.06,Wallet,3.0,9,"Product is okay, nothing special.",0
CUST00010,40.0,Male,Surat,72,43.51,2,21,0.418,13,1030,3585.94,COD,2.0,9,Complete waste of money.,1
CUST00011,28.0,Female,Surat,138,1.0,45,32,0.153,6,1034,18585.04,UPI,2.7,1,"It works, but nothing amazing.",0
CUST00012,28.0,Female,Jaipur,142,16.96,96,24,0.464,13,904,1153.45,Net Banking,2.7,5,"It works, but nothing amazing.",1
CUST00013,41.0,Male,Ahmedabad,46,13.17,43,29,0.295,12,648,765.57,Debit Card,1.1,0,"Terrible experience, won't return.",0
CUST00014,53.0,Male,Chennai,123,,98,36,0.696,17,619,885.37,Credit Card,2.8,9,"Product is okay, nothing special.",1
CUST00015,57.0,Male,Kolkata,118,12.33,1,2,0.442,24,61,22754.36,UPI,2.9,7,"It works, but nothing amazing.",0
CUST00016,41.0,Female,Surat,75,1.0,85,3,0.85,1,1041,,Wallet,3.7,4,"Decent product, met basic needs.",1
CUST00017,20.0,Male,Bangalore,6,4.95,61,28,0.193,8,688,1825.86,Credit Card,3.1,6,Average quality for the price.,1
CUST00018,39.0,Female,Jaipur,21,,3,31,0.418,10,236,1431.6,Debit Card,4.4,6,Super satisfied with purchase.,0
CUST00019,19.0,Female,Surat,190,134.25,91,22,0.558,19,644,291.53,Wallet,2.5,9,"Terrible experience, won't return.",1
CUST00020,41.0,Female,Chennai,147,1.0,44,18,0.126,28,176,707.51,Net Banking,2.6,5,"It works, but nothing amazing.",0
CUST00021,61.0,Male,Delhi,103,5.48,7,14,0.588,25,526,11939.22,Wallet,3.3,4,"Decent product, met basic needs.",0
CUST00022,47.0,Female,Surat,88,109.69,33,15,0.291,10,1082,6878.57,Debit Card,1.8,1,"Terrible experience, won't return.",1
CUST00023,55.0,Male,Hyderabad,99,29.69,9,22,0.23,25,769,14198.75,Credit Card,2.6,2,Average quality for the price.,0
CUST00024,19.0,Male,Delhi,62,17.97,30,39,0.142,5,230,2755.9,Net Banking,3.7,2,Average quality for the price.,0
CUST00025,38.0,Female,Surat,107,2.46,18,45,0.35,0,399,4596.94,Wallet,2.6,4,Okay experience overall.,0
CUST00026,50.0,Female,Pune,83,33.23,56,36,0.929,4,526,3305.06,COD,4.6,1,Best purchase this year!,1
CUST00027,29.0,Male,Surat,181,4.45,90,0,0.031,21,777,,COD,3.5,0,Okay experience overall.,0
CUST00028,39.0,Male,Mumbai,152,33.37,84,18,0.852,24,655,23769.45,UPI,1.6,3,"Very disappointed, poor quality.",0
CUST00029,61.0,Male,Pune,56,116.15,31,36,0.397,13,406,13498.57,COD,2.9,9,"Product is okay, nothing special.",0
CUST00030,42.0,Male,Chennai,190,22.78,72,34,0.562,24,886,4557.21,Wallet,4.1,2,"Perfect, exactly what I needed.",0
CUST00031,66.0,Male,Bangalore,162,7.23,63,29,0.513,15,906,318.97,Credit Card,3.6,2,Okay experience overall.,1
CUST00032,44.0,Male,Delhi,22,29.45,87,16,0.926,8,317,4805.48,COD,4.5,9,Amazing value for money!,1
CUST00033,59.0,Male,Kolkata,68,21.58,50,38,0.77,29,897,,UPI,,5,Highly recommend this product.,1
CUST00034,45.0,Female,Jaipur,185,22.85,89,48,0.985,18,360,747.27,Net Banking,1.2,8,Never buying from here again.,1
