customer_id,age,gender,location,pages_viewed,time_spent_mins,product_views,cart_additions,cart_abandonment_rate,purchase_frequency,days_since_last_purchase,total_spending,payment_method,avg_review_rating,support_interactions,review_text,churn,rfm_recency,rfm_frequency,rfm_monetary,rfm_recency_score,rfm_frequency_score,rfm_monetary_score,rfm_total_score,engagement_score,cart_conversion_rate,avg_order_value,support_burden,age_group,polarity,subjectivity,sentiment_label,sentiment_score,cluster,segment,pca1,pca2
CUST00001,56.0,0,2,39.0,20.73,9.0,23.0,0.385,3.0,867.0,4921.33,2,3.1,3.0,Average quality for the price.,1.0,867.0,3.0,4921.33,4,1,4,9,0.1946,0.615,1640.44,0.75,3,-0.15,0.4,Negative,0.425,1,Churned 🔴,-0.8578574120298977,0.9522645735304652
CUST00002,69.0,1,8,158.0,12.54,49.0,37.0,0.617,22.0,1044.0,3391.6,5,4.7,7.0,"Great product, very happy!",1.0,1044.0,22.0,3391.6,5,4,3,12,0.5007,0.383,154.16,0.3043,3,0.9,0.875,Positive,0.95,0,At-Risk 🟡,1.360059730008094,-0.7149005441698496
CUST00003,46.0,0,9,7.0,9.73,37.0,41.0,0.0,25.0,532.0,4135.74,0,1.3,2.0,Worst purchase ever made.,0.0,532.0,25.0,4135.74,3,5,3,11,0.2613,1.0,165.43,0.0769,2,-1.0,1.0,Negative,0.0,0,At-Risk 🟡,1.137095590323381,-0.6474310365093398
CUST00004,32.0,1,0,150.0,12.27,31.0,40.0,0.55,5.0,594.0,1751.3,0,1.4,7.0,"Not as described, very unhappy.",1.0,594.0,5.0,1751.3,3,1,2,6,0.4639,0.45,350.26,1.1667,1,-0.78,1.0,Negative,0.11,1,Churned 🔴,-1.7790093269444516,-0.16094942800089265
CUST00005,60.0,0,1,121.0,30.56,31.0,35.0,0.975,13.0,638.0,9666.22,4,5.0,5.0,Amazing value for money!,1.0,638.0,13.0,9666.22,3,3,5,11,0.4228,0.025,743.56,0.3571,3,0.75,0.9,Positive,0.875,0,At-Risk 🟡,0.9523338995234638,0.6455498191974014
CUST00006,25.0,2,2,178.0,6.35,59.0,40.0,0.312,4.0,810.0,6837.74,0,4.9,3.0,"Great product, very happy!",0.0,810.0,4.0,6837.74,4,1,4,9,0.5554,0.688,1709.44,0.6,0,0.9,0.875,Positive,0.95,1,Churned 🔴,-0.5184797190246587,1.1147013657503733
CUST00007,38.0,1,9,45.0,73.21,55.0,7.0,0.595,26.0,886.0,5142.63,3,4.1,9.0,Best purchase this year!,1.0,886.0,26.0,5142.63,5,5,4,14,0.2974,0.405,197.79,0.3333,2,1.0,0.3,Positive,1.0,0,At-Risk 🟡,2.272487771678213,-0.5743137385335079
CUST00008,56.0,1,7,74.0,18.83,19.0,2.0,0.762,10.0,917.0,13422.35,4,2.9,2.0,"Product is okay, nothing special.",1.0,917.0,10.0,13422.35,5,2,5,12,0.1812,0.238,1342.24,0.1818,3,0.4286,0.5357,Positive,0.7143,2,Loyal 🟢,1.1798172087268473,1.608550213386168
CUST00009,36.0,1,2,120.0,11.82,63.0,29.0,0.609,20.0,231.0,4315.06,5,3.0,9.0,"Product is okay, nothing special.",0.0,231.0,20.0,4315.06,2,4,4,10,0.4388,0.391,215.75,0.4286,2,0.4286,0.5357,Positive,0.7143,0,At-Risk 🟡,0.6366620907915086,-0.5003653894200648
CUST00010,40.0,1,9,72.0,43.51,2.0,21.0,0.418,13.0,1030.0,3585.94,0,2.0,9.0,Complete waste of money.,1.0,1030.0,13.0,3585.94,5,3,3,11,0.2503,0.582,275.84,0.6429,2,-0.05,0.2,Neutral,0.475,0,At-Risk 🟡,0.3151564881288035,-0.17135453395172118
CUST00011,28.0,0,9,138.0,1.0,45.0,32.0,0.153,6.0,1034.0,18585.04,4,2.7,1.0,"It works, but nothing amazing.",0.0,1034.0,6.0,18585.04,5,2,5,12,0.4282,0.847,3097.51,0.1429,1,0.6,0.9,Positive,0.8,2,Loyal 🟢,1.2244711385333331,3.2300120167521835
CUST00012,28.0,0,5,142.0,16.96,96.0,24.0,0.464,13.0,904.0,1153.45,3,2.7,5.0,"It works, but nothing amazing.",1.0,904.0,13.0,1153.45,5,3,1,9,0.525,0.536,88.73,0.3571,1,0.6,0.9,Positive,0.8,1,Churned 🔴,-0.34887469069990695,-0.6446009291486909
CUST00013,41.0,1,0,46.0,13.17,43.0,29.0,0.295,12.0,648.0,765.57,2,1.1,0.0,"Terrible experience, won't return.",0.0,648.0,12.0,765.57,4,3,1,8,0.2885,0.705,63.8,0.0,2,-1.0,1.0,Negative,0.0,1,Churned 🔴,-0.8314041954094318,-0.6299494259417747
CUST00014,53.0,1,2,123.0,20.73,98.0,36.0,0.696,17.0,619.0,885.37,1,2.8,9.0,"Product is okay, nothing special.",1.0,619.0,17.0,885.37,3,3,1,7,0.553,0.304,52.08,0.5,3,0.4286,0.5357,Positive,0.7143,1,Churned 🔴,-0.6708668255657232,-0.9524452857532302
CUST00015,57.0,1,6,118.0,12.33,1.0,2.0,0.442,24.0,61.0,22754.36,4,2.9,7.0,"It works, but nothing amazing.",0.0,61.0,24.0,22754.36,1,4,5,10,0.2031,0.558,948.1,0.28,3,0.6,0.9,Positive,0.8,2,Loyal 🟢,2.238262227754496,1.8954956454804524
CUST00016,41.0,0,9,75.0,1.0,85.0,3.0,0.85,1.0,1041.0,3411.105,5,3.7,4.0,"Decent product, met basic needs.",1.0,1041.0,1.0,3411.105,5,1,3,9,0.298,0.15,3411.1,2.0,2,0.0833,0.3958,Neutral,0.5417,1,Churned 🔴,-1.127525038598486,1.5963985884076628
CUST00017,20.0,1,1,6.0,4.95,61.0,28.0,0.193,8.0,688.0,1825.86,1,3.1,6.0,Average quality for the price.,1.0,688.0,8.0,1825.86,4,2,2,8,0.2504,0.807,228.23,0.6667,0,-0.15,0.4,Negative,0.425,1,Churned 🔴,-0.99608242040801,-0.2923484297202799
CUST00018,39.0,0,5,21.0,20.73,3.0,31.0,0.418,10.0,236.0,1431.6,2,4.4,6.0,Super satisfied with purchase.,0.0,236.0,10.0,1431.6,2,2,2,6,0.1873,0.582,143.16,0.5455,2,0.4167,0.8333,Positive,0.7083,1,Churned 🔴,-1.4245254753343906,-0.5784725315131388
CUST00019,19.0,0,9,190.0,134.25,91.0,22.0,0.558,19.0,644.0,291.53,5,2.5,9.0,"Terrible experience, won't return.",1.0,644.0,19.0,291.53,3,4,1,8,0.7241,0.442,15.34,0.45,0,-1.0,1.0,Negative,0.0,1,Churned 🔴,-0.27545390621149635,-1.0865561179968515
CUST00020,41.0,0,2,147.0,1.0,44.0,18.0,0.126,28.0,176.0,707.51,3,2.6,5.0,"It works, but nothing amazing.",0.0,176.0,28.0,707.51,1,5,1,7,0.3837,0.874,25.27,0.1724,2,0.6,0.9,Positive,0.8,0,At-Risk 🟡,-0.019271351609525436,-1.4303209936359909
CUST00021,61.0,1,3,103.0,5.48,7.0,14.0,0.588,25.0,526.0,11939.22,5,3.3,4.0,"Decent product, met basic needs.",0.0,526.0,25.0,11939.22,3,5,5,13,0.2322,0.412,477.57,0.1538,3,0.0833,0.3958,Neutral,0.5417,0,At-Risk 🟡,2.404888561728857,0.40610193197467526
CUST00022,47.0,0,9,88.0,109.69,33.0,15.0,0.291,10.0,1082.0,6878.57,2,1.8,1.0,"Terrible experience, won't return.",1.0,1082.0,10.0,6878.57,5,2,4,11,0.3948,0.709,687.86,0.0909,2,-1.0,1.0,Negative,0.0,0,At-Risk 🟡,0.3911453442442814,0.5490337651138517
CUST00023,55.0,1,4,99.0,29.69,9.0,22.0,0.23,25.0,769.0,14198.75,1,2.6,2.0,Average quality for the price.,0.0,769.0,25.0,14198.75,4,5,5,14,0.2921,0.77,567.95,0.0769,3,-0.15,0.4,Negative,0.425,0,At-Risk 🟡,2.836119784532542,0.7909457304917046
CUST00024,19.0,1,3,62.0,17.97,30.0,39.0,0.142,5.0,230.0,2755.9,3,3.7,2.0,Average quality for the price.,0.0,230.0,5.0,2755.9,2,1,3,6,0.3323,0.858,551.18,0.3333,0,-0.15,0.4,Negative,0.425,1,Churned 🔴,-1.6761678679462775,0.017248272357613562
CUST00025,38.0,0,9,107.0,2.46,18.0,45.0,0.35,0.0,399.0,4596.94,5,2.6,4.0,Okay experience overall.,0.0,399.0,0.0,4596.94,2,1,4,7,0.3807,0.65,0.0,4.0,2,0.25,0.25,Positive,0.625,1,Churned 🔴,-1.5649920158070996,0.2646359447351934
CUST00026,50.0,0,8,83.0,33.23,56.0,36.0,0.929,4.0,526.0,3305.06,0,4.6,1.0,Best purchase this year!,1.0,526.0,4.0,3305.06,3,1,3,7,0.4233,0.071,826.26,0.2,2,1.0,0.3,Positive,1.0,1,Churned 🔴,-1.3123851901280095,0.20141683157911597
CUST00027,29.0,1,9,181.0,4.45,90.0,0.0,0.031,21.0,777.0,3411.105,0,3.5,0.0,Okay experience overall.,0.0,777.0,21.0,3411.105,4,4,3,11,0.4602,0.0,162.43,0.0,1,0.25,0.25,Positive,0.625,0,At-Risk 🟡,0.9365364206746812,-0.6262270397735189
CUST00028,39.0,1,7,152.0,33.37,84.0,18.0,0.852,24.0,655.0,23769.45,4,1.6,3.0,"Very disappointed, poor quality.",0.0,655.0,24.0,23769.45,4,4,5,13,0.5121,0.148,990.39,0.12,2,-0.6875,0.7875,Negative,0.1562,2,Loyal 🟢,3.25431564240322,2.126814370416515
CUST00029,61.0,1,8,56.0,116.15,31.0,36.0,0.397,13.0,406.0,13498.57,0,2.9,9.0,"Product is okay, nothing special.",0.0,406.0,13.0,13498.57,2,3,5,10,0.4345,0.603,1038.35,0.6429,3,0.4286,0.5357,Positive,0.7143,2,Loyal 🟢,0.818986940119867,1.305422352553184
CUST00030,42.0,1,2,190.0,22.78,72.0,34.0,0.562,24.0,886.0,4557.21,5,4.1,2.0,"Perfect, exactly what I needed.",0.0,886.0,24.0,4557.21,5,4,4,13,0.596,0.438,189.88,0.08,2,0.625,0.625,Positive,0.8125,0,At-Risk 🟡,1.8868402628100631,-0.6018470084711955
CUST00031,66.0,1,1,162.0,7.23,63.0,29.0,0.513,15.0,906.0,318.97,1,3.6,2.0,Okay experience overall.,1.0,906.0,15.0,318.97,5,3,1,9,0.4964,0.487,21.26,0.125,3,0.25,0.25,Positive,0.625,1,Churned 🔴,-0.23865870711478154,-0.8929972039794591
CUST00032,44.0,1,3,22.0,29.45,87.0,16.0,0.926,8.0,317.0,4805.48,0,4.5,9.0,Amazing value for money!,1.0,317.0,8.0,4805.48,2,2,4,8,0.3093,0.074,600.68,1.0,2,0.75,0.9,Positive,0.875,1,Churned 🔴,-0.6818583285019703,0.14590953075085794
CUST00033,59.0,1,6,68.0,21.58,50.0,38.0,0.77,29.0,897.0,3411.105,4,3.0,5.0,Highly recommend this product.,1.0,897.0,29.0,3411.105,5,5,3,13,0.3822,0.23,117.62,0.1667,3,0.16,0.54,Positive,0.58,0,At-Risk 🟡,2.060337664758086,-0.9720087836904348
CUST00034,45.0,0,5,185.0,22.85,89.0,48.0,0.985,18.0,360.0,747.27,3,1.2,8.0,Never buying from here again.,1.0,360.0,18.0,747.27,2,3,1,6,0.6789,0.015,41.52,0.4211,2,0.0,0.0,Neutral,0.5,1,Churned 🔴,-0.9065578779906803,-1.031242383555656
CUST00035,43.0,0,1,10.0,19.51,1.0,25.0,0.794,28.0,391.0,1061.91,0,1.5,9.0,Complete waste of money.,1.0,391.0,28.0,1061.91,2,5,1,8,0.1412,0.206,37.93,0.3103,2,-0.05,0.2,Neutral,0.475,0,At-Risk 🟡,0.24883318184995512,-1.3559096109432858
CUST00036,32.0,0,8,66.0,33.6,82.0,12.0,0.296,19.0,554.0,2258.8,4,3.6,9.0,Average quality for the price.,0.0,554.0,19.0,2258.8,3,4,2,9,0.3547,0.704,118.88,0.45,1,-0.15,0.4,Negative,0.425,0,At-Risk 🟡,0.10314588365249722,-0.7710628056091394
CUST00037,64.0,1,5,8.0,25.46,19.0,21.0,0.963,7.0,1007.0,4479.82,0,2.0,1.0,"Very disappointed, poor quality.",1.0,1007.0,7.0,4479.82,5,2,4,11,0.1659,0.037,639.97,0.125,3,-0.6875,0.7875,Negative,0.1562,0,At-Risk 🟡,0.0175252318703784,0.32861268027899404
